Orario di rilevazione	Numero dispositivo 	Numero di serie	Potenza [W]	Energia di oggi [kWh]	Temperatura [°C]	Tensione griglia [V]	Corrente griglia [A]	Frequenza di rete [Hz]	Tens. Fotov. 1 [V]	Corr. fotov. 1 [A]	Tens. Fotov. 2 [V]	Corr. fotov. 2 [A]	Tens. Fotov. 3 [V]	Corr. fotov. 3 [A]	Stato	Moduli C.C.	Errore	Pannello fotovoltaico	Limite di potenza [W]	Posizione di fase	CosPhi
2019-09-01 17:40:00	1	029501N182	0	0	39	234	0	49.99	542	0	543.7	0	0	0	70		1222	0	16000		
2019-09-01 17:40:00	2	101802N182	3222	0.055	51	234	13.847	49.99	563.3	1.857	573.8	1.877	583.2	1.91	60		0	0	16000		
2019-09-01 17:40:00	3	101902N182	0	0	40	241	0	49.99	727.2	0	726.7	0	735.8	0	51		1040	0	16000		
2019-09-01 17:40:00	4	102002N182	2678	0.047	50	234	11.456	49.99	581.3	1.515	587.5	1.496	583.1	1.513	60		0	0	16000		
2019-09-01 17:40:00	5	102102N182	3530	0.055	51	234	15.134	49.99	607.7	1.984	584.6	1.943	598.2	1.957	60		0	0	16000		
2019-09-01 17:40:00	6	102202N182	3624	0.062	51	234	15.488	49.99	603.8	2.013	603	1.994	608.3	1.974	60		0	0	16000		
2019-09-01 17:40:00	7	102302N182	2626	0.039	50	234	11.222	49.99	585.5	1.454	584.6	1.434	590.5	1.464	60		0	0	16000		
2019-09-01 17:40:00	8	102402N182	3204	0.062	51	235	13.618	49.99	570.7	1.855	544.5	1.855	582	1.883	60		0	0	16000		
2019-09-01 17:40:00	9	102502N182	0	0	40	234	0.049	49.99	737.2	0	738.3	0	742	0	70		1364	0	16000		
2019-09-01 17:40:00	10	102602N182	3129	0.062	53	234	13.426	49.99	570.5	1.832	568.3	1.888	567.8	1.826	60		0	0	16000		
2019-09-01 17:40:00	11	102702N182	2602	0.047	50	234	11.125	49.99	590	1.5	557.3	1.477	588.2	1.517	60		0	0	16000		
2019-09-01 17:40:00	12	054202N182	1896	0.031	48	235	8.92	49.99	572.3	1.829	569.7	1.482	0	0	60		0	0	16000		
2019-09-01 17:40:00	13	029901N182	1842	0.027	48	234	8.767	49.99	440.3	2.083	448.1	2.134	0	0	60		0	0	16000		
2019-09-01 17:50:00	1	029501N182	0	0	39	234	0	49.99	541.2	0	542.8	0	0	0	70		1222	0	16000		
2019-09-01 17:50:00	2	101802N182	2931	0.57	50	234	12.528	49.99	562.7	1.67	575.4	1.687	586.3	1.71	60		0	0	16000		
2019-09-01 17:50:00	3	101902N182	0	0	40	241	0	49.99	726.5	0	725.2	0	736.7	0	51		1040	0	16000		
2019-09-01 17:50:00	4	102002N182	2404	0.461	50	234	10.326	49.99	582.5	1.338	591.1	1.345	583.9	1.338	60		0	0	16000		
2019-09-01 17:50:00	5	102102N182	3100	0.609	50	234	13.321	49.98	607.6	1.735	584.7	1.693	600.6	1.7	60		0	0	16000		
2019-09-01 17:50:00	6	102202N182	3127	0.625	50	234	13.35	49.99	604.7	1.723	603.5	1.707	613.5	1.677	60		0	0	16000		
2019-09-01 17:50:00	7	102302N182	2368	0.453	50	234	10.155	49.98	585.7	1.302	585.3	1.28	588.5	1.312	60		0	0	16000		
2019-09-01 17:50:00	8	102402N182	2904	0.562	51	234	12.378	49.98	571.6	1.665	545	1.669	582.9	1.694	60		0	0	16000		
2019-09-01 17:50:00	9	102502N182	0	0	40	234	0	49.98	735	0	735.5	0	739.6	0	70		1364	0	16000		
2019-09-01 17:50:00	10	102602N182	2814	0.555	53	234	12.072	49.98	570.6	1.619	573.6	1.675	572	1.619	60		0	0	16000		
2019-09-01 17:50:00	11	102702N182	2336	0.453	49	234	10.033	49.99	589.5	1.342	556.6	1.315	587	1.357	60		0	0	16000		
2019-09-01 17:50:00	12	054202N182	1689	0.328	48	234	7.827	49.99	572.2	1.614	572.1	1.325	0	0	60		0	0	16000		
2019-09-01 17:50:00	13	029901N182	1506	0.293	48	233	6.875	49.99	437.5	1.686	447.4	1.74	0	0	60		0	0	16000		
2019-09-01 18:00:00	1	029501N182	0	0	39	234	0	49.99	552.9	0	554.4	0	0	0	70		1222	0	16000		
2019-09-01 18:00:00	2	101802N182	4454	1.32	50	234	19.003	49.98	577.7	2.511	590.3	2.518	596.4	2.573	60		0	0	16000		
2019-09-01 18:00:00	3	101902N182	0	0	40	241	0	49.99	743.6	0	743.3	0	753.3	0	51		1040	0	16000		
2019-09-01 18:00:00	4	102002N182	3460	1	50	234	14.803	49.98	593.9	1.922	603.3	1.911	595.2	1.91	60		0	0	16000		
2019-09-01 18:00:00	5	102102N182	4607	1.312	50	234	19.688	49.98	621.8	2.537	600.3	2.469	615.9	2.492	60		0	0	16000		
2019-09-01 18:00:00	6	102202N182	4704	1.359	49	234	20.037	49.99	618.9	2.548	619.3	2.513	626.1	2.497	60		0	0	16000		
2019-09-01 18:00:00	7	102302N182	3491	0.992	49	234	14.955	49.98	596.8	1.922	594.7	1.894	600.9	1.936	60		0	0	16000		
2019-09-01 18:00:00	8	102402N182	4505	1.25	50	234	19.185	49.98	585.8	2.558	560.6	2.548	597.4	2.602	60		0	0	16000		
2019-09-01 18:00:00	9	102502N182	0	0	40	234	0	49.99	752.3	0	753.4	0	756.6	0	70		1364	0	16000		
2019-09-01 18:00:00	10	102602N182	4469	1.242	52	234	19.091	49.98	585.8	2.557	586	2.602	585.9	2.534	60		0	0	16000		
2019-09-01 18:00:00	11	102702N182	3495	1	49	234	14.951	49.98	599.5	1.989	567.8	1.955	598.4	2.01	60		0	0	16000		
2019-09-01 18:00:00	12	054202N182	2667	0.742	48	234	11.832	49.99	588.2	2.566	586.7	1.984	0	0	60		0	0	16000		
2019-09-01 18:00:00	13	029901N182	2382	0.66	47	234	10.683	49.98	448.4	2.623	458.3	2.679	0	0	60		0	0	16000		
2019-09-01 18:10:00	1	029501N182	0	0	39	234	0	50	544	0	545.5	0	0	0	70		1222	0	16000		
2019-09-01 18:10:00	2	101802N182	3904	1.938	50	234	16.737	50	574.2	2.208	582.9	2.241	591.6	2.278	60		0	0	16000		
2019-09-01 18:10:00	3	101902N182	0	0	40	241	0	50	731.4	0	730.1	0	742.4	0	51		1040	0	16000		
2019-09-01 18:10:00	4	102002N182	2705	1.484	50	234	11.607	50	585	1.51	592.7	1.52	587.6	1.497	60		0	0	16000		
2019-09-01 18:10:00	5	102102N182	4215	2.078	50	234	18.068	50	617.7	2.345	597.9	2.272	611.9	2.283	60		0	0	16000		
2019-09-01 18:10:00	6	102202N182	4308	2.125	50	234	18.358	50.01	615.3	2.357	614.7	2.322	624.3	2.281	60		0	0	16000		
2019-09-01 18:10:00	7	102302N182	2691	1.469	49	234	11.561	50.01	587.9	1.487	586.5	1.463	593.6	1.499	60		0	0	16000		
2019-09-01 18:10:00	8	102402N182	3909	1.938	50	234	16.69	50.01	581.3	2.227	555.4	2.226	594.6	2.266	60		0	0	16000		
2019-09-01 18:10:00	9	102502N182	0	0	40	234	0	50.01	739.5	0	739.9	0	742.9	0	70		1364	0	16000		
2019-09-01 18:10:00	10	102602N182	3791	1.914	52	234	16.223	50.01	579.6	2.151	581.5	2.243	581.2	2.174	60		0	0	16000		
2019-09-01 18:10:00	11	102702N182	2618	1.469	49	234	11.233	50.01	591.5	1.499	559	1.472	588.8	1.523	60		0	0	16000		
2019-09-01 18:10:00	12	054202N182	2066	1.117	48	234	9.558	50.01	582.8	2.094	575.9	1.459	0	0	60		0	0	16000		
2019-09-01 18:10:00	13	029901N182	2021	1.012	47	233	9.396	50.01	445.4	2.23	456.2	2.282	0	0	60		0	0	16000		
2019-09-01 18:20:00	1	029501N182	0	0	39	233	0	50.01	530.7	0	531.9	0	0	0	70		1222	0	16000		
2019-09-01 18:20:00	2	101802N182	1692	2.25	49	233	7.304	50.01	555.4	0.954	566.4	0.981	578.5	0.984	60		0	0	16000		
2019-09-01 18:20:00	3	101902N182	0	0	40	241	0	50	711.6	0	706.7	0	723.5	0	51		1040	0	16000		
2019-09-01 18:20:00	4	102002N182	1330	1.727	50	233	5.805	50.01	567.6	0.731	576.2	0.751	572.1	0.741	60		0	0	16000		
2019-09-01 18:20:00	5	102102N182	1779	2.406	49	233	7.713	50.01	606.6	0.985	580.7	0.962	595	0.958	60		0	0	16000		
2019-09-01 18:20:00	6	102202N182	1804	2.461	49	233	7.787	50.01	603.4	0.988	598.4	0.985	609.7	0.95	60		0	0	16000		
2019-09-01 18:20:00	7	102302N182	1306	1.703	49	233	5.717	50.01	572.1	0.708	572	0.699	578.2	0.711	60		0	0	16000		
2019-09-01 18:20:00	8	102402N182	1613	2.234	50	233	6.977	50.01	565.5	0.918	535.9	0.933	580.9	0.922	60		0	0	16000		
2019-09-01 18:20:00	9	102502N182	0	0	40	233	0	50.01	718.4	0	717.7	0	720.9	0	70		1364	0	16000		
2019-09-01 18:20:00	10	102602N182	1579	2.203	52	233	6.85	50.01	562.6	0.919	571.5	0.945	566	0.894	60		0	0	16000		
2019-09-01 18:20:00	11	102702N182	1288	1.68	49	233	5.675	50.01	578	0.745	543.5	0.727	574.2	0.759	60		0	0	16000		
2019-09-01 18:20:00	12	054202N182	952	1.273	48	233	4.545	50.01	569.8	0.918	559	0.743	0	0	60		0	0	16000		
2019-09-01 18:20:00	13	029901N182	832	1.156	47	233	3.775	50.01	436.2	0.911	447.2	0.972	0	0	60		0	0	16000		
2019-09-01 18:30:00	1	029501N182	0	0	39	233	0	49.99	530.8	0	531.8	0	0	0	70		1222	0	16000		
2019-09-01 18:30:00	2	101802N182	1130	2.43	49	233	4.941	49.99	552	0.628	566.1	0.653	579.8	0.65	60		0	0	16000		
2019-09-01 18:30:00	3	101902N182	0	0	40	241	0	49.99	711	0	704.4	0	722.2	0	51		1040	0	16000		
2019-09-01 18:30:00	4	102002N182	1003	1.891	49	233	4.41	49.99	567.9	0.538	576.8	0.562	570.7	0.554	60		0	0	16000		
2019-09-01 18:30:00	5	102102N182	1209	2.602	49	233	5.286	49.99	607.2	0.66	580.3	0.645	593.4	0.642	60		0	0	16000		
2019-09-01 18:30:00	6	102202N182	1236	2.656	48	233	5.436	49.99	602.9	0.672	597.6	0.674	609.6	0.639	60		0	0	16000		
2019-09-01 18:30:00	7	102302N182	999	1.867	49	232	4.391	49.99	573.3	0.53	573.6	0.523	579.5	0.53	60		0	0	16000		
2019-09-01 18:30:00	8	102402N182	1126	2.414	49	234	4.925	49.99	562.3	0.635	534.6	0.649	581.1	0.631	60		0	0	16000		
2019-09-01 18:30:00	9	102502N182	0	0	40	233	0	49.99	718.3	0	717.2	0	720	0	70		1364	0	16000		
2019-09-01 18:30:00	10	102602N182	1116	2.383	51	233	4.876	49.99	563.3	0.647	573.4	0.672	564.7	0.625	60		0	0	16000		
2019-09-01 18:30:00	11	102702N182	987	1.859	48	233	4.33	49.99	578.3	0.568	542.7	0.552	573.2	0.58	60		0	0	16000		
2019-09-01 18:30:00	12	054202N182	692	1.398	47	233	4.404	49.99	570.4	0.633	558.7	0.571	0	0	60		0	0	16000		
2019-09-01 18:30:00	13	029901N182	581	1.262	47	233	2.884	49.99	437.1	0.628	448.2	0.69	0	0	60		0	0	16000		
2019-09-01 18:40:00	1	029501N182	0	0	39	235	0	49.98	525.1	0	526.1	0	0	0	70		1222	0	16000		
