Orario di rilevazione	Numero registratore di dati	Potenza [W]	Energia di oggi [kWh]	Rendimento conteggiato [kWh]	Intensità di irradiamento [W/mý]	Energia di irradiamento odierna [kWh]
2019-09-01 17:40:00	0	28353	0.487			
2019-09-01 17:50:00	0	25179	4.909			
2019-09-01 18:00:00	0	38234	10.877			
2019-09-01 18:10:00	0	32228	16.544			
2019-09-01 18:20:00	0	14175	19.093			
2019-09-01 18:30:00	0	10079	20.762			
2019-09-01 18:40:00	0	6540	21.934			
2019-09-01 18:50:00	0	2871	22.418			
2019-09-01 19:00:00	0	1754	22.722			
2019-09-01 19:10:00	0	1344	22.957			
2019-09-01 19:20:00	0	263	23.012			
2019-09-01 19:30:00	0	494	23.094			
2019-09-01 19:40:00	0	507	23.18			
2019-09-01 19:50:00	0	196	23.223			
2019-09-01 20:00:00	0	177	23.269			
2019-09-01 20:10:00	0	11	23.269			
2019-09-01 20:20:00	0		23.269			
2019-09-01 20:30:00	0		23.269			
2019-09-01 20:40:00	0		23.269			
2019-09-01 20:50:00	0		23.269			
2019-09-01 21:00:00	0		23.269			
2019-09-01 21:10:00	0		23.269			
2019-09-01 21:20:00	0		23.269			
2019-09-01 21:30:00	0		23.269			
2019-09-01 21:40:00	0		23.269			
2019-09-01 21:50:00	0		23.269			
2019-09-01 22:00:00	0		23.269			
2019-09-01 22:10:00	0		23.269			
2019-09-01 22:20:00	0		23.269			
2019-09-01 22:30:00	0		23.269			
2019-09-01 22:40:00	0		23.269			
2019-09-01 22:50:00	0		23.269			
2019-09-01 23:00:00	0		23.269			
2019-09-01 23:10:00	0		23.269			
2019-09-08 07:30:00	0	131				
2019-09-08 07:40:00	0	1595	0.239			
2019-09-08 07:50:00	0	960	0.418			
2019-09-08 08:00:00	0	1817	0.712			
2019-09-08 08:10:00	0	1907	1.064			
2019-09-08 08:20:00	0	1136	1.27			
2019-09-08 08:30:00	0	247	1.31			
2019-09-08 08:40:00	0	372	1.372			
2019-09-08 08:50:00	0	1127	1.54			
2019-09-08 09:00:00	0	2355	1.928			
2019-09-08 09:10:00	0	3189	2.414			
2019-09-08 09:20:00	0	6103	3.386			
2019-09-08 09:30:00	0	11028	5.294			
2019-09-08 09:40:00	0	8055	6.591			
2019-09-08 09:50:00	0	12118	8.59			
2019-09-08 10:00:00	0	12909	10.711			
2019-09-08 10:10:00	0	25285	14.551			
2019-09-08 10:20:00	0	24941	18.771			
2019-09-08 10:30:00	0	17312	21.764			
2019-09-08 10:40:00	0	16898	24.558			
2019-09-08 10:50:00	0	12460	26.729			
2019-09-08 11:00:00	0	13114	28.832			
2019-09-08 11:10:00	0	25696	33.004			
2019-09-08 11:20:00	0	40495	39.312			
2019-09-08 11:30:00	0	51548	47.937			
2019-09-08 11:40:00	0	70220	59.624			
2019-09-08 11:50:00	0	94609	75.129			
2019-09-08 12:00:00	0	94039	90.705			
2019-09-08 12:10:00	0	83077	103.897			
2019-09-08 12:20:00	0	63579	115.38			
2019-09-08 12:30:00	0	44951	122.899			
2019-09-08 12:40:00	0	89258	136.4			
2019-09-08 12:50:00	0	116567	155.738			
2019-09-08 13:00:00	0	101169	173.555			
2019-09-08 13:10:00	0	54859	182.901			
2019-09-08 13:20:00	0	52971	191.329			
2019-09-08 13:30:00	0	73360	203.381			
2019-09-08 13:40:00	0	107401	221.445			
2019-09-08 13:50:00	0	89119	235.317			
2019-09-08 14:00:00	0	107708	253.214			
2019-09-08 14:10:00	0	92079	269.537			
2019-09-08 14:20:00	0	93497	284.706			
2019-09-08 14:30:00	0	98438	302.246			
2019-09-08 14:40:00	0	59212	311.95			
2019-09-08 14:50:00	0	94365	327.643			
2019-09-08 15:00:00	0	81705	341.292			
2019-09-08 15:10:00	0	74128	353.808			
2019-09-08 15:20:00	0	64081	364.262			
2019-09-08 15:30:00	0	76591	377.221			
2019-09-08 15:40:00	0	35645	383.403			
2019-09-08 15:50:00	0	28362	388.258			
2019-09-08 16:00:00	0	21294	391.773			
2019-09-08 16:10:00	0	15463	394.428			
2019-09-08 16:20:00	0	14219	396.815			
2019-09-08 16:30:00	0	11306	398.711			
2019-09-08 16:40:00	0	7817	400.044			
2019-09-08 16:50:00	0	8518	401.469			
2019-09-08 17:00:00	0	7058	402.657			
2019-09-08 17:10:00	0	5701	403.658			
2019-09-08 17:20:00	0	3115	404.195			
2019-09-08 17:30:00	0	3019	404.679			
2019-09-08 17:40:00	0	3328	405.223			
2019-09-08 17:50:00	0	2540	405.681			
2019-09-08 18:00:00	0	1575	405.927			
2019-09-08 18:10:00	0	1226	406.155			
2019-09-08 18:20:00	0	499	406.246			
2019-09-08 18:30:00	0	635	406.36			
2019-09-08 18:40:00	0	4071	406.972			
2019-09-08 18:50:00	0	14332	409.278			
2019-09-08 19:00:00	0	12898	411.462			
2019-09-08 19:10:00	0	11142	413.347			
2019-09-08 19:20:00	0	9057	414.859			
2019-09-08 19:30:00	0	6539	415.989			
2019-09-08 19:40:00	0	4016	416.676			
2019-09-08 19:50:00	0	1720	416.977			
2019-09-08 20:00:00	0	475	417.086			
2019-09-08 20:10:00	0	2	417.086			
2019-09-08 20:20:00	0		417.086			
2019-09-08 20:30:00	0		417.086			
2019-09-08 20:40:00	0		417.086			
2019-09-08 20:50:00	0		417.086			
2019-09-08 21:00:00	0		417.086			
2019-09-08 21:10:00	0		417.086			
2019-09-08 21:20:00	0		417.086			
2019-09-08 21:30:00	0		417.086			
2019-09-08 21:40:00	0		417.086			
2019-09-08 21:50:00	0		417.086			
2019-09-08 22:00:00	0		417.086			
